ETC1,DATE,MACHINE,OPERATINID,ETC2,ETC3,STEPDESC,RECIPE,LOT ID,WAFERID,Slot ID,PARAMETER,MAX_DATA_ID,DATA1,DATA2,DATA3,DATA4,DATA5,DATA6,DATA7,DATA8,DATA9,DATA10,DATA11,DATA12,DATA13,DATA14,DATA15,DATA16,DATA17,DATA18,DATA19,DATA20,DATA21,DATA22,DATA23,DATA24,DATA25,DATA26,DATA27,DATA28,DATA29,DATA30,DATA31,DATA32,DATA33,DATA34,DATA35,DATA36,DATA37,DATA38,DATA39,DATA40,DATA41,DATA42,DATA43,DATA44,DATA45,DATA46,DATA47,DATA48,DATA49,DATA50,DATA51,DATA52,DATA53,DATA54,DATA55,DATA56,DATA57,DATA58,DATA59
XX,2026-04-22 15:00,MTCM01,OP001,,,5 DIGIT TEST,TEST_5D,LOT5D,LOT5D.01,1,T1,59,11963.871,12056.300,12179.961,12228.020,12331.048,12422.022,12437.302,12535.748,12548.067,12571.634,12606.128,12628.205,12669.598,12597.061,12683.181,12659.743,12682.644,12668.515,12699.985,12604.911,12520.558,12500.998,12526.371,12436.092,12413.134,12390.202,12250.945,12205.418,12086.454,12019.609,12090.431,12217.879,12276.227,12333.028,12402.203,12458.042,12506.102,12636.198,12571.807,12639.358,12617.107,12632.127,12710.082,12687.427,12674.943,12701.745,12642.771,12623.247,12655.862,12592.366,12558.545,12504.546,12488.457,12383.731,12416.852,12259.638,12155.139,12101.168,11997.424
XX,2026-04-22 15:00,MTCM01,OP001,,,5 DIGIT TEST,TEST_5D,LOT5D,LOT5D.01,1,X,59,-145.0,-140.0,-135.0,-130.0,-125.0,-120.0,-115.0,-110.0,-105.0,-100.0,-95.0,-90.0,-85.0,-80.0,-75.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0
XX,2026-04-22 15:00,MTCM01,OP001,,,5 DIGIT TEST,TEST_5D,LOT5D,LOT5D.01,1,Y,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX,2026-04-22 15:00,MTCM01,OP001,,,5 DIGIT TEST,TEST_5D,LOT5D,LOT5D.02,2,T1,59,22740.558,22896.345,23127.890,23385.443,23389.649,23545.111,23632.602,23686.443,23898.720,23985.378,23990.241,24011.113,23994.484,24057.812,24102.668,24123.716,24009.381,24032.451,23983.744,24056.190,23905.065,23854.436,23768.579,23568.306,23591.187,23360.767,23253.139,23111.923,22894.110,22744.820,22967.355,23135.536,23335.640,23518.883,23536.004,23637.729,23571.573,23837.626,23906.091,23978.857,24006.018,24126.221,24165.895,24092.042,24136.982,23925.167,24045.805,24034.730,24078.080,23837.246,23797.942,23767.229,23779.988,23533.048,23415.184,23262.292,23195.632,23119.171,22760.116
XX,2026-04-22 15:00,MTCM01,OP001,,,5 DIGIT TEST,TEST_5D,LOT5D,LOT5D.02,2,X,59,-145.0,-140.0,-135.0,-130.0,-125.0,-120.0,-115.0,-110.0,-105.0,-100.0,-95.0,-90.0,-85.0,-80.0,-75.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0
XX,2026-04-22 15:00,MTCM01,OP001,,,5 DIGIT TEST,TEST_5D,LOT5D,LOT5D.02,2,Y,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX,2026-04-22 15:00,MTCM01,OP001,,,5 DIGIT TEST,TEST_5D,LOT5D,LOT5D.03,3,T1,59,33666.787,33907.992,34081.878,34280.398,34524.454,34656.178,35101.326,35085.335,35184.361,35245.605,35292.020,35424.907,35380.988,35487.591,35472.602,35473.988,35539.285,35483.822,35402.493,35251.308,35186.881,35168.302,34992.774,34939.346,34697.386,34534.121,34337.853,34119.831,33727.572,33736.060,33739.924,34054.757,34286.015,34463.442,34712.777,34792.893,34832.881,35119.784,35260.129,35311.693,35452.136,35444.280,35441.923,35497.824,35448.123,35315.866,35429.380,35301.074,35362.831,35224.386,35088.175,35023.849,34801.705,34668.917,34439.557,34336.404,34036.393,33957.587,33527.733
XX,2026-04-22 15:00,MTCM01,OP001,,,5 DIGIT TEST,TEST_5D,LOT5D,LOT5D.03,3,X,59,-145.0,-140.0,-135.0,-130.0,-125.0,-120.0,-115.0,-110.0,-105.0,-100.0,-95.0,-90.0,-85.0,-80.0,-75.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0
XX,2026-04-22 15:00,MTCM01,OP001,,,5 DIGIT TEST,TEST_5D,LOT5D,LOT5D.03,3,Y,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XX,2026-04-22 15:00,MTCM01,OP001,,,5 DIGIT TEST,TEST_5D,LOT5D,LOT5D.04,4,T1,59,44288.824,44687.622,45084.098,45180.324,45632.642,45822.363,46110.440,46095.093,46369.667,46510.577,46485.978,46708.107,46943.442,46855.685,47030.229,46752.401,46913.836,46961.634,46788.737,46683.049,46605.773,46424.458,46303.108,46055.221,45896.639,45579.133,45202.652,45190.422,44954.468,44519.130,44649.584,45124.011,45267.389,45630.539,45787.983,46055.435,46312.610,46322.474,46582.562,46454.970,46784.777,46854.110,46842.163,46872.298,46937.609,46790.459,46824.688,46910.877,46558.575,46324.501,46485.282,46179.666,45978.221,45757.201,45581.549,45508.546,45053.666,44810.395,44407.905
XX,2026-04-22 15:00,MTCM01,OP001,,,5 DIGIT TEST,TEST_5D,LOT5D,LOT5D.04,4,X,59,-145.0,-140.0,-135.0,-130.0,-125.0,-120.0,-115.0,-110.0,-105.0,-100.0,-95.0,-90.0,-85.0,-80.0,-75.0,-70.0,-65.0,-60.0,-55.0,-50.0,-45.0,-40.0,-35.0,-30.0,-25.0,-20.0,-15.0,-10.0,-5.0,0.0,5.0,10.0,15.0,20.0,25.0,30.0,35.0,40.0,45.0,50.0,55.0,60.0,65.0,70.0,75.0,80.0,85.0,90.0,95.0,100.0,105.0,110.0,115.0,120.0,125.0,130.0,135.0,140.0,145.0
